x,RAND() + sin(2*pi*x)
0,0.3119270328
0.02,0.7507375108
0.04,0.2824512965
0.06,1.2582300553
0.08,1.3458580891
0.1,1.5090880986
0.12,1.6837472108
0.14,0.9391461823
0.16,1.2369417929
0.18,0.9106286224
0.2,1.3104061711
0.22,1.7953163707
0.24,1.336035641
0.26,1.3422991108
0.28,1.5967227365
0.3,1.2197396495
0.32,1.6733217446
0.34,0.879666321
0.36,1.5504110408
0.38,0.7479224579
0.4,0.6737069036
0.42,0.5266259867
0.44,0.6750009718
0.46,1.0904525861
0.48,0.5635212547
0.5,0.2845465397
0.52,0.4156869852
0.54,-0.0537667682
0.56,0.2934719424
0.58,0.1394247965
0.6,-0.049211542
0.62,-0.3761659714
0.64,-0.02643963
0.66,-0.1972484181
0.68,-0.2257338401
0.7,-0.6939392575
0.72,-0.8402758115
0.74,-0.3773643459
0.76,-0.8423881019
0.78,-0.0543281151
0.8,-0.9044693187
0.82,-0.5533650527
0.84,-0.5976522196
0.86,-0.6433210438
0.88,0.2810129142
0.9,0.3905214986
0.92,0.3998688577
0.94,0.3998676378
0.96,0.1805639444
0.98,0.5958335596
1,0.7574693736
1.02,0.3071865082
1.04,0.7761218118
1.06,0.834107049
1.08,0.7694364488
1.1,1.3979251058
1.12,1.1480438494
1.14,1.0285240105
1.16,1.1837870248
1.18,1.4163310942
1.2,1.9046692974
1.22,1.3192883641
1.24,1.1368325241
1.26,1.084957819
1.28,1.575183194
1.3,1.913743859
1.32,0.9443680534
1.34,1.4526671454
1.36,1.2401876554
1.38,1.2961574908
1.4,0.613132356
1.42,1.4321564983
1.44,0.4083284895
1.46,0.8155741992
1.48,0.3089361555
1.5,0.4518568663
1.52,0.2674297736
1.54,0.5580341503
1.56,0.2165286868
1.58,0.1661042467
1.6,-0.0661802796
1.62,0.0538581862
1.64,-0.4968720061
1.66,-0.8163687761
1.68,-0.0662499827
1.7,-0.3125835513
1.72,-0.6413517382
1.74,-0.439340467
1.76,-0.6621182488
1.78,-0.9036634337
1.8,0.003064925
1.82,-0.8903835758
1.84,-0.4885325965
1.86,-0.311505153
1.88,0.241367082
1.9,0.0718954181
1.92,0.4727920752
1.94,0.6074395754
1.96,-0.0317949102
1.98,0.066930004
2,0.8055582631
2.02,1.0297939404
2.04,0.4027367155
2.06,0.7453808656
2.08,0.8404995133
2.1,0.984097702
2.12,0.9998087108
2.14,1.7524695297
2.16,1.348939236
2.18,1.0497528475
2.2,1.8530160878
2.22,1.0273292947
2.24,1.3235452528
2.26,1.5670959362
2.28,1.2150736012
2.3,1.7785014464
2.32,1.7549212352
2.34,1.6368427339
2.36,1.2159856335
2.38,1.3701917265
2.4,0.7431887316
2.42,0.7993280812
2.44,0.9102808492
2.46,1.1222843729
2.48,0.9903803449
2.5,0.8036594278
2.52,0.7992848847
2.54,0.4103515173
2.56,0.3618322102
2.58,0.0621896992
2.6,-0.153808578
2.62,-0.2917721796
2.64,-0.3970253247
2.66,-0.6216064776
2.68,-0.8371454743
2.7,0.0135494039
2.72,-0.6239855536
2.74,-0.6594582837
2.76,-0.0080617519
2.78,-0.1605488101
2.8,-0.2893625915
2.82,-0.7378256549
2.84,-0.5719180937
2.86,-0.3855214659
2.88,-0.2038013116
2.9,-0.1078366788
2.92,-0.2176483907
2.94,-0.2138625173
2.96,0.1803880019
2.98,0.0754760052
3,0.2785814675
