x,TANH(3*(x-1.5))+RAND()
0,-0.2965976082
0.02,-0.9369873507
0.04,-0.5762751145
0.06,-0.3811119979
0.08,-0.0052922915
0.1,-0.9199535289
0.12,-0.2851235425
0.14,-0.3350761695
0.16,-0.0064657566
0.18,-0.1284519098
0.2,-0.5731623539
0.22,-0.2714718063
0.24,-0.8189061449
0.26,-0.4834695287
0.28,-0.17588647
0.3,-0.1043086723
0.32,-0.5342227224
0.34,-0.7888468886
0.36,-0.7835993953
0.38,-0.0911956513
0.4,-0.0805557151
0.42,-0.6376754426
0.44,-0.0450810563
0.46,-0.0364260658
0.48,-0.2106974868
0.5,-0.3354278352
0.52,-0.8969341109
0.54,-0.3436345919
0.56,-0.6825812918
0.58,-0.0605072002
0.6,-0.5199483495
0.62,-0.8062935901
0.64,0.003648234
0.66,-0.2701697691
0.68,-0.5841114979
0.7,-0.6326838897
0.72,-0.4089011823
0.74,-0.8868524157
0.76,-0.8275436786
0.78,-0.1757786564
0.8,-0.8246605152
0.82,0.01753508
0.84,-0.7311229716
0.86,-0.8701440643
0.88,-0.402179358
0.9,-0.4002012582
0.92,-0.8359665471
0.94,-0.3358242931
0.96,-0.7410983611
0.98,-0.0606019556
1,-0.6840216212
1.02,-0.6978613489
1.04,-0.3588118603
1.06,0.0975556376
1.08,-0.2422191351
1.1,-0.5116874198
1.12,-0.6532694428
1.14,0.0738547027
1.16,0.0567994436
1.18,-0.4641357853
1.2,-0.6079755934
1.22,-0.3369651032
1.24,-0.2385824074
1.26,0.3653704523
1.28,-0.0578502076
1.3,0.4455360235
1.32,0.3316542885
1.34,-0.3213579765
1.36,0.3943504378
1.38,0.3004432783
1.4,0.3260654888
1.42,-0.043616004
1.44,0.7445565361
1.46,0.3285770113
1.48,0.2810105883
1.5,0.5654926026
1.52,0.1956679585
1.54,0.9272636297
1.56,0.8870157578
1.58,0.907937084
1.6,0.4610066486
1.62,0.7144415671
1.64,0.4781424618
1.66,0.9793292662
1.68,0.6001510278
1.7,1.3931680546
1.72,0.7287780812
1.74,1.1158353201
1.76,1.2371502599
1.78,1.3047586432
1.8,1.5939712217
1.82,0.9224557998
1.84,1.1121439562
1.86,1.7618583098
1.88,1.0389401687
1.9,1.7554131751
1.92,1.3553133514
1.94,1.0902272686
1.96,1.3513288197
1.98,1.7710858604
2,1.210963303
2.02,0.9572963149
2.04,1.2733543469
2.06,1.0607374589
2.08,1.0777454905
2.1,1.4754112839
2.12,1.5452214565
2.14,1.8074239017
2.16,1.0800089915
2.18,1.5495245397
2.2,1.3148659622
2.22,1.6147762946
2.24,1.526182132
2.26,1.2812276603
2.28,1.267469411
2.3,1.4257646259
2.32,1.002891846
2.34,1.2041613711
2.36,1.2695783934
2.38,1.8952808938
2.4,1.3164475091
2.42,1.7326084873
2.44,1.7176822636
2.46,1.4951909234
2.48,1.424116882
2.5,1.4168996429
2.52,1.2484541878
2.54,1.4772970851
2.56,1.2774087966
2.58,1.7382976551
2.6,1.9150943912
2.62,1.4417568029
2.64,1.6227247969
2.66,1.2615620169
2.68,1.1657437288
2.7,1.6421481538
2.72,1.6428801357
2.74,1.4813004251
2.76,1.2235363773
2.78,1.8595672329
2.8,1.7524903233
2.82,1.9194170717
2.84,1.0175563745
2.86,1.8770646368
2.88,1.5757482937
2.9,1.2793113192
2.92,1.0021230678
2.94,1.6917285663
2.96,1.6478987072
2.98,1.9568283947
3,1.7112808862
