index,sinewave
0,0
0.05,0.0499791693
0.1,0.0998334166
0.15,0.1494381325
0.2,0.1986693308
0.25,0.2474039593
0.3,0.2955202067
0.35,0.3428978075
0.4,0.3894183423
0.45,0.4349655341
0.5,0.4794255386
0.55,0.5226872289
0.6,0.5646424734
0.65,0.6051864057
0.7,0.6442176872
0.75,0.68163876
0.8,0.7173560909
0.85,0.7512804051
0.9,0.7833269096
0.95,0.8134155048
1,0.8414709848
1.05,0.8674232256
1.1,0.8912073601
1.15,0.9127639403
1.2,0.932039086
1.25,0.9489846194
1.3,0.9635581854
1.35,0.9757233578
1.4,0.98544973
1.45,0.992712991
1.5,0.9974949866
1.55,0.9997837642
1.6,0.999573603
1.65,0.9968650285
1.7,0.9916648105
1.75,0.9839859469
1.8,0.9738476309
1.85,0.961275203
1.9,0.9463000877
1.95,0.928959715
2,0.9092974268
2.05,0.8873623686
2.1,0.8632093666
2.15,0.8368987908
2.2,0.8084964038
2.25,0.7780731969
2.3,0.7457052122
2.35,0.7114733528
2.4,0.6754631806
2.45,0.6377647021
2.5,0.5984721441
2.55,0.5576837174
2.6,0.5155013718
2.65,0.4720305413
2.7,0.4273798802
2.75,0.3816609921
2.8,0.3349881502
2.85,0.2874780123
2.9,0.2392493292
2.95,0.1904226474
3,0.1411200081
3.05,0.0914646422
3.1,0.0415806624
3.15,-0.0084072474
3.2,-0.0583741434
3.25,-0.1081951345
3.3,-0.1577456941
3.35,-0.2069019717
3.4,-0.255541102
3.45,-0.3035415127
3.5,-0.3507832277
3.55,-0.3971481673
3.6,-0.4425204433
3.65,-0.4867866487
3.7,-0.5298361409
3.75,-0.5715613187
3.8,-0.6118578909
3.85,-0.6506251371
3.9,-0.6877661592
3.95,-0.7231881241
4,-0.7568024953
4.05,-0.7885252544
4.1,-0.8182771111
4.15,-0.8459837011
4.2,-0.8715757724
4.25,-0.8949893582
4.3,-0.9161659367
4.35,-0.9350525776
4.4,-0.9516020739
4.45,-0.9657730606
4.5,-0.9775301177
4.55,-0.9868438585
4.6,-0.9936910036
4.65,-0.9980544388
4.7,-0.9999232576
4.75,-0.999292789
4.8,-0.9961646088
4.85,-0.990546536
4.9,-0.9824526126
4.95,-0.9719030694
5,-0.9589242747
5.05,-0.9435486686
5.1,-0.9258146823
5.15,-0.9057666415
5.2,-0.8834546557
5.25,-0.8589344934
5.3,-0.8322674422
5.35,-0.8035201559
5.4,-0.7727644876
5.45,-0.7400773105
5.5,-0.7055403256
5.55,-0.6692398573
5.6,-0.6312666379
5.65,-0.5917155806
5.7,-0.5506855426
5.75,-0.5082790775
5.8,-0.4646021794
5.85,-0.4197640178
5.9,-0.3738766648
5.95,-0.3270548149
6,-0.2794154982
6.05,-0.2310777883
6.1,-0.1821625043
6.15,-0.1327919089
6.2,-0.0830894028
6.25,-0.0331792165
6.3,0.0168139005
6.35,0.0667649915
6.4,0.1165492049
6.45,0.1660421059
6.5,0.2151199881
6.55,0.2636601824
6.6,0.3115413635
6.65,0.3586438535
6.7,0.4048499206
6.75,0.4500440738
6.8,0.4941133511
6.85,0.5369476024
6.9,0.5784397644
6.95,0.6184861282
7,0.6569865987
7.05,0.6938449449
7.1,0.7289690401
7.15,0.7622710924
7.2,0.7936678638
7.25,0.823080879
7.3,0.8504366206
7.35,0.8756667136
7.4,0.8987080958
7.45,0.9195031758
7.5,0.9379999768
7.55,0.9541522663
7.6,0.967919672
7.65,0.9792677827
7.7,0.9881682339
7.75,0.9945987791
7.8,0.9985433454
7.85,0.9999920733
7.9,0.9989413418
7.95,0.9953937773
8,0.9893582466
8.05,0.9808498356
8.1,0.9698898108
8.15,0.9565055667
8.2,0.9407305567
8.25,0.9226042102
8.3,0.9021718338
8.35,0.8794844975
8.4,0.8545989081
8.45,0.8275772664
8.5,0.7984871126
8.55,0.7674011569
8.6,0.7343970979
8.65,0.6995574286
8.7,0.6629692301
8.75,0.6247239538
8.8,0.5849171929
8.85,0.5436484437
8.9,0.5010208565
8.95,0.457140978
9,0.4121184852
9.05,0.3660659109
9.1,0.3190983623
9.15,0.2713332341
9.2,0.2228899141
9.25,0.1738894854
9.3,0.1244544235
9.35,0.0747082904
9.4,0.0247754255
9.45,-0.0252193651
9.5,-0.0751511205
9.55,-0.1248950371
9.6,-0.1743267812
9.65,-0.2233227992
9.7,-0.2717606264
9.75,-0.3195191936
9.8,-0.3664791293
9.85,-0.4125230579
9.9,-0.4575358938
9.95,-0.5014051282
10,-0.5440211109
10.05,-0.5852773241
10.1,-0.6250706489
10.15,-0.6633016226
10.2,-0.6998746876
10.25,-0.7346984304
10.3,-0.7676858098
10.35,-0.7987543744
10.4,-0.8278264691
10.45,-0.8548294287
10.5,-0.87969576
10.55,-0.90236331
10.6,-0.9227754216
10.65,-0.9408810753
10.7,-0.9566350163
10.75,-0.9699978679
10.8,-0.9809362301
10.85,-0.9894227625
10.9,-0.9954362533
10.95,-0.9989616719
11,-0.9999902066
11.05,-0.9985192865
11.1,-0.9945525882
11.15,-0.9881000264
11.2,-0.9791777292
11.25,-0.9678079975
11.3,-0.9540192499
11.35,-0.937845951
11.4,-0.9193285257
11.45,-0.8985132578
11.5,-0.8754521747
11.55,-0.8502029171
11.6,-0.822828595
11.65,-0.7933976299
11.7,-0.7619835839
11.75,-0.7286649758
11.8,-0.6935250848
11.85,-0.6566517422
11.9,-0.6181371122
11.95,-0.5780774614
12,-0.536572918
12.05,-0.4937272217
12.1,-0.4496474645
12.15,-0.4044438228
12.2,-0.3582292822
12.25,-0.311119355
12.3,-0.2632317914
12.35,-0.2146862854
12.4,-0.1656041754
12.45,-0.1161081413
12.5,-0.0663218974
12.55,-0.0163698832
12.6,0.0336230472
12.65,0.0835319375
12.7,0.1332320414
12.75,0.1825991346
12.8,0.2315098251
12.85,0.2798418616
12.9,0.3274744391
12.95,0.3742885011
13,0.4201670368
13.05,0.4649953737
13.1,0.5086614644
13.15,0.5510561663
13.2,0.5920735147
13.25,0.6316109877
13.3,0.6695697622
13.35,0.705854961
13.4,0.74037589
13.45,0.7730462648
13.5,0.8037844266
13.55,0.8325135459
13.6,0.8591618149
13.65,0.8836626268
13.7,0.9059547423
13.75,0.9259824428
13.8,0.9436956694
13.85,0.9590501484
13.9,0.9720075014
13.95,0.9825353419
14,0.9906073557
14.05,0.996203367
14.1,0.9993093887
14.15,0.9999176574
14.2,0.9980266527
14.25,0.9936411011
14.3,0.9867719643
14.35,0.9774364114
14.4,0.9656577765
14.45,0.9514655002
14.5,0.9348950555
14.55,0.9159878601
14.6,0.8947911721
14.65,0.8713579722
14.7,0.8457468311
14.75,0.8180217635
14.8,0.7882520674
14.85,0.7565121516
14.9,0.7228813495
14.95,0.6874437205
15,0.6502878402
15.05,0.6115065789
15.1,0.5711968697
15.15,0.5294594657
15.2,0.4863986889
15.25,0.4421221686
15.3,0.3967405731
15.35,0.3503673329
15.4,0.3031183567
15.45,0.2551117426
15.5,0.2064674819
15.55,0.1573071601
15.6,0.1077536523
15.65,0.0579308165
15.7,0.0079631838
15.75,-0.0420243527
15.8,-0.0919068502
15.85,-0.1415596285
15.9,-0.1908585814
15.95,-0.2396804872
16,-0.2879033167
16.05,-0.3354065378
16.1,-0.3820714172
16.15,-0.427781317
16.2,-0.4724219864
16.25,-0.5158818468
16.3,-0.5580522713
16.35,-0.5988278557
16.4,-0.6381066823
16.45,-0.6757905746
16.5,-0.7117853424
